scientific_name,page_number
Trichechus manatus,1
Trichechus senegalensis,1
Gorilla beringei,1
Gorilla gorilla,1
Pan troglodytes,1
Tadarida brasiliensis,1
Acinonyx jubatus,1
Uncia uncia,1
Ursus arctos isabellinus,1
Monachus monachus,1
Pusa caspica,1
Lontra felina,1
Lontra provocax,1
Equus africanus,1
Equus ferus przewalskii,1
Equus grevyi,1
Camelus bactrianus,1
Vicugna vicugna,1
Hippocamelus bisulcus,2
Cervus elaphus barbarus,2
Cervus elaphus yarkandensis,2
Eudorcas rufifrons,2
Gazella cuvieri,2
Gazella dorcas,2
Gazella leptoceros,2
Nanger dama,2
Bos grunniens,2
Bos sauveli,2
Addax nasomaculatus,2
Oryx dammah,2
Balaena mysticetus,2
Eubalaena glacialis,2
Eubalaena japonica,2
Eubalaena australis,2
Balaenoptera borealis,2
Balaenoptera physalus,2
Balaenoptera musculus,2
Megaptera novaeangliae,2
Delphinus delphis,2
Tursiops truncatus ponticus,2
Orcaella brevirostris,2
Sousa teuszii,2
Physeter macrocephalus,2
Platanista gangetica gangetica,2
Pontoporia blainvillei,2
Ziphius cavirostris,2
Oxyura leucocephala,2
Branta ruficollis,2
Anser cygnoid,2
Anser erythropus,2
Polysticta stelleri,2
Chloephaga rubidiceps,2
Marmaronetta angustirostris,2
Aythya baeri,2
Aythya nyroca,2
Sibirionetta formosa,2
Phoenicoparrus andinus,2
Phoenicoparrus jamesi,2
Sarothrura ayresi,2
Leucogeranus leucogeranus,2
Antigone vipio,2
Grus japonensis,2
Grus monacha,2
Grus nigricollis,2
Otis tarda,2
Chlamydotis undulata,2
Spheniscus humboldti,3
Diomedea amsterdamensis,3
Phoebastria albatrus,3
Pterodroma atrata,3
Pterodroma sandwichensis,3
Pterodroma phaeopygia,3
Pterodroma cahow,3
Ardenna creatopus,3
Puffinus mauretanicus,3
Pelecanoides garnotii,3
Ciconia boyciana,3
Platalea minor,3
Geronticus eremita,3
Gorsachius goisagi,3
Ardeola idae,3
Egretta eulophotes,3
Pelecanus crispus,3
Pelecanus onocrotalus,3
Fregata andrewsi,3
Vanellus gregarius,3
Numenius tahitiensis,3
Numenius borealis,3
Numenius tenuirostris,3
Numenius madagascariensis,3
Calidris tenuirostris,3
Calidris canutus rufa,3
Calidris pygmea,3
Calidris subruficollis,3
Calidris pusilla,3
Tringa guttifer,3
Saundersilarus saundersi,3
Larus relictus,3
Larus leucophthalmus,3
Larus audouinii,3
Larus atlanticus,3
Sternula lorata,3
Thalasseus bernsteini,3
Synthliboramphus wumizusume,3
Neophron percnopterus,3
Sarcogyps calvus,3
Trigonoceps occipitalis,3
Necrosyrtes monachus,3
Gyps bengalensis,3
Gyps africanus,3
Gyps indicus,3
Gyps tenuirostris,3
Gyps coprotheres,3
Gyps rueppelli,4
Torgos tracheliotos,4
Clanga clanga,4
Aquila nipalensis,4
Aquila adalberti,4
Aquila heliaca,4
Haliaeetus leucoryphus,4
Haliaeetus albicilla,4
Haliaeetus pelagicus,4
Coracias garrulus,4
Falco naumanni,4
Falco vespertinus,4
Falco cherrug,4
Brotogeris pyrrhoptera,4
Alectrurus tricolor,4
Alectrurus risora,4
Acrocephalus sorghophilus,4
Acrocephalus paludicola,4
Acrocephalus griseldis,4
Hirundo atrocaerulea,4
Geokichla guttata,4
Serinus syriacus,4
Emberiza aureola,4
Xanthopsar flavus,4
Setophaga kirtlandii,4
Setophaga cerulea,4
Sporophila hypochroma,4
Sporophila cinnamomea,4
Sporophila palustris,4
Chelonia mydas,4
Caretta caretta,4
Eretmochelys imbricata,4
Lepidochelys kempii,4
Lepidochelys olivacea,4
Dermochelys coriacea,4
Podocnemis expansa,4
Gavialis gangeticus,4
Rhincodon typus,5
Carcharodon carcharias,5
Cetorhinus maximus,5
Squatina squatina,5
Rhinobatos rhinobatos,5
Anoxypristis cuspidata,5
Pristis clavata,5
Pristis pectinata,5
Pristis zijsron,5
Pristis pristis,5
Manta alfredi,5
Manta birostris,5
Mobula mobular,5
Mobula japanica,5
Mobula thurstoni,5
Mobula tarapacana,5
Mobula eregoodootenkee,5
Mobula kuhlii,5
Mobula hypostoma,5
Mobula rochebrunei,5
Mobula munkiana,5
Acipenser sturio,5
Pangasianodon gigas,5
