rank,name,annexcode
genus,Rosa,bxl_2.2
family,Orchidaceae,bxl_2.2
family,Nymphaeaceae,bxl_2.2
class,Mammalia,bxl_2.2
class,Aves,bxl_2.2
class,Amphibia,bxl_2.2
class,Reptilia,bxl_2.2
phylum,Bryophyta,bxl_2.3
genus,Coregonus,bxl_2.5
genus,Sphagnum,bxl_2.5
genus,Lycopodium,bxl_2.5
genus,Salicornia,bxl_2.5
family,Acipenseridae,bxl_2.5
class,Elasmobranchii,bxl_2.5
class,Actinopterygii,bxl_2.5
kingdom,Fungi,bxl_2.5
genus,Hydrobatidae,bern_2
genus,Ciconiidae,bern_2
genus,Otididae,bern_2
genus,Recurvirostridae,bern_2
genus,Phalaropodidae,bern_2
genus,Laridae,bern_2
genus,Pteroclididae,bern_2
family,Threskiornithidae,bern_2
family,Gaviidae,bern_2
family,Caprimulgidae,bern_2
family,Hirundinidae,bern_2
family,Motacillidae,bern_2
family,Laniidae,bern_2
family,Sylviinae,bern_2
family,Regulinae,bern_2
family,Muscicapinae,bern_2
family,Paridae,bern_2
family,Sittidae,bern_2
family,Certhiidae,bern_2
family,Pelicanidae,bern_2
family,Gruidae,bern_2
order,Falconiformes,bern_2
order,Piciformes,bern_2
order,Strigiformes,bern_2
class,Ursidae,bern_2
genus,Coregonus,bern_3
family,Soricidae,bern_3
family,Gliridae,bern_3
family,Cervidae,bern_3
order,Cetacea,bern_3
class,Aves,bern_3
class,Reptilia,bern_3
class,Amphibia,bern_3
genus,Anthropoides,bonn_2
genus,Antigone,bonn_2
genus,Grus,bonn_2
family,Acanthizidae,bonn_2
family,Accipitridae,bonn_2
family,Acrocephalidae,bonn_2
family,Aegithalidae,bonn_2
family,Anatidae,bonn_2
family,Anseranatidae,bonn_2
family,Artamidae,bonn_2
family,Bernieridae,bonn_2
family,Cathartidae,bonn_2
family,Cheloniidae,bonn_2
family,Cinclosomatidae,bonn_2
family,Cisticolidae,bonn_2
family,Dasyornithidae,bonn_2
family,Dermochelyidae,bonn_2
family,Eulacestomatidae,bonn_2
family,Eupetidae,bonn_2
family,Falconidae,bonn_2
family,Falcunculidae,bonn_2
family,Haematopodidae,bonn_2
family,Hyliotidae,bonn_2
family,Hylocitreidae,bonn_2
family,Ibidorhynchidae,bonn_2
family,Ifritidae,bonn_2
family,Leiotrichidae,bonn_2
family,Locustellidae,bonn_2
family,Machaerirhynchidae,bonn_2
family,Macrosphenidae,bonn_2
family,Maluridae,bonn_2
family,Melampittidae,bonn_2
family,Meliphagidae,bonn_2
family,Mohouidae,bonn_2
family,Monarchidae,bonn_2
family,Motacillidae,bonn_2
family,Muscicapidae,bonn_2
family,Oreoicidae,bonn_2
family,Oriolidae,bonn_2
family,Orthonychidae,bonn_2
family,Pachycephalidae,bonn_2
family,Panuridae,bonn_2
family,Pellorneidae,bonn_2
family,Petroicidae,bonn_2
family,Phoenicopteridae,bonn_2
family,Phylloscopidae,bonn_2
family,Picathartidae,bonn_2
family,Platysteiridae,bonn_2
family,Pluvianellidae,bonn_2
family,Pnoepygidae,bonn_2
family,Polioptilidae,bonn_2
family,Pomatostomidae,bonn_2
family,Psophodidae,bonn_2
family,Recurvirostridae,bonn_2
family,Regulidae,bonn_2
family,Rhagologidae,bonn_2
family,Rhinolophidae,bonn_2
family,Rhipiduridae,bonn_2
family,Scolopacidae,bonn_2
family,Scotocercidae,bonn_2
family,Stenostiridae,bonn_2
family,Sylviidae,bonn_2
family,Timaliidae,bonn_2
family,Turdidae,bonn_2
family,Vangidae,bonn_2
family,Vespertilionidae,bonn_2
family,Vireonidae,bonn_2
family,Zosteropidae,bonn_2
genus,Eudontomyzon,hab_2
genus,Alosa,hab_2
genus,Phoxinellus,hab_2
genus,Zingel,hab_2
family,Gliridae,hab_4
