scientific_name_corrected,scientific_name_original,page_number,remarks
Carabus aronitens var. putsysi,Carabus aronitens var. putsysi,76,
Melolontha melolontha,Melolontha Melolontha,76,decapitalize specific epithet
Formica polyctena,Formica polyctena,76,
Aglais urticae,Aglais urticae,76,
Anthocharis cardamines,Anthocharis cardamines,76,
Aphantopus hyperantus,Aphantopus hyperantus,76,
Apatura iris,Apatura iris,76,
Araschnia levana,Araschnia levana,76,
Cacyreus marshalli,Cacyreus marshalli,76,
Celastrina argiolus,Celastrina argiolus,76,
Coenonympha pamphilus,Coenonympha pamphilus,76,
Colias croceus,Colias croceus,76,
Colias hyale,Colias hyale,76,
Gonepteryx rhamni,Gonepteryx rhamni,76,
Inachis io,Inachis io,76,
Lasiommata megera,Lasiommata megera,76,
Lycaena phlaeas,Lycaena phlaeas,76,
Maniola jurtina,Maniola jurtina,76,
Neozephyrus quercus,Neozephyrus quercus,76,
Nymphalis antiopa,Nymphalis antiopa,76,
Nymphalis polychloros,Nymphalis polychloros,76,
Ochlodes venata,Ochlodes venata,76,
Papilio machaon,Papilio machaon,76,
Pararge aegeria,Pararge aegeria,76,
Pieris brassicae,Pieris brassicae,76,
Pieris napi,Pieris napi,76,
Pieris rapae,Pieris rapae,76,
Polygonia c-album,Polygonia c-album,76,
Polyommatus icarus,Polyommatus icarus,76,
Pyronia tithonus,Pyronia tithonus,76,
Satyrium w,Satyrium w,76,
Thecla betulae,Thecla betulae,76,
Thymelicus lineola,Thymelicus lineola,76,
Thymelicus sylvestris,Thymelicus sylvestris,76,
Vanessa atalanta,Vanessa atalanta,76,
Vanessa cardui,Vanessa cardui,76,
Aeshna affinis,Aeshna affinis,76,
Aeshna cyanea,Aeshna cyanea,76,
Aeshna grandis,Aeshna grandis,76,
Aeshna mixta,Aeshna mixta,76,
Aeshna subarctica,Aeshna subarctica,76,
Anax imperator,Anax imperator,76,
Brachytron pratense,Brachytron pretense,76,changed e to a
Calopteryx splendens,Calopteryx splendens,76,
Ceriagrion tenellum,Ceriagrion tenellum,76,
Coenagrion lunulatum,Coenagrion lunulatum,77,
Coenagrion mercuriale,Coenagrion mercuriale,77,
Coenagrion puella,Coenagrion puella,77,
Cordulegaster bidentata,Cordulegaster bidentata,77,
Cordulegaster boltoni,Cordulegaster boltoni,77,
Cordulia aenea,Cordulia aenea,77,
Enallagma cyathigerum,Enallagma cyathigerum,77,
Epitheca bimaculata,Epitheca bimaculata,77,
Erythromma linden,Erythromma linden,77,
Erythromma najas,Erythromma najas,77,
Erythromma viridulum,Erythromma viridulum,77,
Gomphus pulchellus,Gomphus pulchellus,77,
Ischnura elegans,Ischnura elegans,77,
Ischnura pumilio,Ischnura pumilio,77,
Lestes sponsa,Lestes sponsa,77,
Lestes viridis,Lestes viridis,77,
Leucorrhinia caudalis,Leucorrhinia caudalis,77,
Libellula depressa,Libellula depressa,77,
Libellula quadrimaculata,Libellula quadrimaculata,77,
Nehalennia speciosa,Nehalennia speciosa,77,
Onychogomphus forcipatus,Onychogomphus forcipatus,77,
Onychogomphus uncatus,Onychogomphus uncatus,77,
Ophiogomphus Cecilia,Ophiogomphus Cecilia,77,
Orthetrum cancellatum,Orthetrum cancellatum,77,
Oxygastra curtisii,Oxygastra curtisii,77,
Platycnemis pennipes,Platycnemis pennipes,77,
Pyrrhosoma nymphula,Pyrrhosoma nymphula,77,
Somatochlora arctica,Somatochlora arctica,77,
Sympetrum danae,Sympetrum danae,77,
Sympetrum pedemontanum,Sympetrum pedemontanum,77,
Sympetrum sanguineum,Sympetrum sanguineum,77,
Sympetrum striolatum,Sympetrum striolatum,77,
Sympetrum vulgatum,Sympetrum vulgatum,77,
Barbitistes serricauda,Barbitistes serricauda,77,
Chorthippus brunneus,Chorthippus brunneus,77,
Chorthippus bigutulus,Chorthippus bigutulus,77,
Chorthippus parallelus,Chorthippus parallelus,77,
Chorthippus albomarginatus,Chorthippus albomarginatus,77,
Conocephalus discolor,Conocephalus discolor,77,
Conocephalus dorsalis,Conocephalus dorsalis,77,
Gryllotalpa gryllotalpa,Gryllotalpa gryllotalpa,77,
Leptophyes punctatissima,Leptophyes punctatissima,77,
Meconema thalassinum,Meconema thalassinum,77,
Meconema meridionale,Meconema meridionale,77,
Oecanthus pelluscens,Oecanthus pelluscens,77,
Oe¢cdipoda caerulescens,Oe¢cdipoda caerulescens,77,
Phaneroptera falcata,Phaneroptera falcate,77,changed e to a
Pholidoptera griseoaptera,Pholidoptera griseoaptera,77,
Stethophyma grossum,Stethophyma grossum,77,
Tetrix subulata,Tetrix subulata,77,
Tetrix undulate,Tetrix undulate,77,
Tetrix tenuicornis,Tetrix tenuicornis,77,
Tetrix ceperoi,Tetrix ceperoi,77,
Tettigonia viridissima,Tettigonia viridissima,77,
Atypus affinis,Atypus affinis,77,
Aira caryophyllea,Aira caryophyllea,78,
Aira praecox,Aira praecox,78,
Alchemilla glabra,Alchemilla glabra,78,
Alchemilla xanthochlora,Alchemilla xanthochlora,78,
Anemone ranunculoides,Anemone ranunculoides,78,
Anthemis arvensis,Anthemis arvensis,78,
Anthyllis vulneraria,Anthyllis vulneraria,78,
Arctium nemorosum,Arctium nemorosum,78,
Atropa bella-donna,Atropa bella-donna,78,
Bromus ramosus,Bromus ramosus,78,
Carex caryophyllea,Carex caryophyllea,78,
Carex digitata,Carex digitata,78,
Carex divulsa,Carex divulsa,78,
Carex strigosa,Carex strigosa,78,
Catabrosa aquatica,Catabrosa aquatica,78,
Catapodium rigidum,Catapodium rigidum,78,
Centranthus ruber,Centranthus ruber,78,
Cirstum acaule,Cirstum acaule,78,
Corydalis solida,Corydalis solida,78,
Corynephorus canescens,Corynephorus canescens,78,
Cyperus fuscus,Cyperus fuscus,78,
Dianthus armeria,Dianthus armeria,78,
Epilobium lanceolatum,Epilobium lanceolatum,78,
Equisetum sylvaticum,Equisetum sylvaticum,78,
Epipactis helleborine,Epipactis helleborine,78,
Erigeron acer,Erigeron acer,78,
Euphorbia amyegdaloides,Euphorbia amyegdaloides,78,
Euphorbia exigua,Euphorbia exigua,78,
Festuca brevipila,Festuca brevipila,78,no match due to multiple authorships
Gagea spathacea,Gagea spathacea,78,
Gymnocarpium dryopteris,Gymnocarpium dryopteris,78,
Helleborus viridis,Helleborus viridis,78,
Hieracium lachenalti,Hieracium lachenalti,78,
Hieracium lactucella,Hieracium lactucella,78,
Hieracium maculatum,Hieracium maculatum,78,
Holosteum umbellatum,Holosteum umbellatum,78,
Hypericum hirsutum,Hypericum hirsutum,78,
Hypericum montanum,Hypericum montanum,78,
Juncus acutiflorus,Juncus acutiflorus,78,
Juncus subnodulosus,Juncus subnodulosus,78,
Knautia arvensis,Knautia arvensis,78,
Lathyrus aphaca,Lathyrus aphaca,78,
Leersia oryzoides,Leersia oryzoides,78,
Legousia speculum-veneris,Legousia speculum-veneris,78,
Leontodon hispidus,Leontodon hispidus,78,
Leonurus cardiaca,Leonurus cardiaca,78,
Lithospermum officinale,Lithospermum officinale,78,
Malva alcea,Malva alcea,78,
Melampyrum pratense,Melampyrum pratense,78,
Muinuartia hybrida,Muinuartia hybrida,78,
Myosotis stricta,Myosotis stricta,78,
Myriophyllum verticillatum,Myriophyllum verticillatum,78,
Nardus stricta,Nardus stricta,78,
Odontites vernus,Odontites vernus,78,
Oreopteris limbosperma,Oreopteris limbosperma,78,
Parietaria officinalis,Parietaria officinalis,78,
Petrorhagia prolifera,Petrorhagia prolifera,78,
Phyteuma spicatum,Phyteuma spicatum,78,
Polygala serpyllifolia,Polygala serpyllifolia,78,
Polygala vulgaris,Polygala vulgaris,78,
Pyrola minor,Pyrola minor,78,
Rhinanthus minor,Rhinanthus minor,78,
Solidago virgaurea,Solidago virgaurea,78,
Stachys arvensis,Stachys arvensis,78,
Tamus communis,Tamus communis,78,
Teesdalia nudicaulis,Teesdalia nudicaulis,78,
Thymus pulegioides,Thymus pulegioides,78,
Torilis arvensis,Torilis arvensis,79,
Trifolium medium,Trifolium medium,79,
Trifolium striatum,Trifolium striatum,79,
YValeriana dioica,YValeriana dioica,79,
Viola hirta,Viola hirta,79,
Leucobryum glaucum,Leucobryum glaucum,79,
Allium ursinum,Allium ursinum,79,
Berula erecta,Berula erecta,79,
Calluna vulgaris,Calluna vulgaris,79,
Caltha palustris,Caltha palustris,79,
Campanula rotundifolia,Campanula rotundifolia,79,
Campanula trachelium,Campanula trachelium,79,
Cardamine amara,Cardamine amara,79,
Centaurium erythraea,Centaurium erythraea,79,
Chrysosplenium alternifolium,Chrysosplenium alternifolium,79,
Chrysosplenium oppositifolium,Chrysosplenium oppositifolium,79,
Convallaria maialis,Convallaria maialis,79,
Crepis paludosa,Crepis paludosa,79,
Cruciata laevipes,Cruciata laevipes,79,
Hyacinthoides non,Hyacinthoides non,79,
Impatiens noli,Impatiens noli,79,
iris pseudacorus,iris pseudacorus,79,
Lathyrus tuberosus,Lathyrus tuberosus,79,
Lychnis flos,Lychnis flos,79,
Maianthemum bifolium,Maianthemum bifolium,79,
Myosoton aquaticum,Myosoton aquaticum,79,
Narcissus pseudonarcissus,Narcissus pseudonarcissus,79,
Qhnonis repens,Qhnonis repens,79,
Paris quadrifolia,Paris quadrifolia,79,
Phyteuma nigrum,Phyteuma nigrum,79,
Pimpinella major,Pimpinella major,79,
Pimpinella saxifrage,Pimpinella saxifrage,79,
Polygonatum multiflorum,Polygonatum multiflorum,79,
Primula elatior,Primula elatior,79,
Ranunculus auricomus,Ranunculus auricomus,79,
Ranunculus bulbosus,Ranunculus bulbosus,79,
Sanicula europaea,Sanicula europaea,79,
Saxifraga granulate,Saxifraga granulate,79,
Senecio ovatus,Senecio ovatus,79,
Stellaria holostea,Stellaria holostea,79,
Torilis japonica,Torilis japonica,79,
Vaccinium myrtillus,Vaccinium myrtillus,79,
Valeriana repens,Valeriana repens,79,no match due to multiple authorships
Vinca minor,Vinca minor,79,
Sphagnum spp.,Sphagnum spp.,79,
